City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Port Elizabeth,ZA,2022-10-24 17:24:00,-33.918,25.5701,72.1,87,1,9.82
137,Esperance,AU,2022-10-24 17:24:00,-33.8667,121.9,56.5,88,84,12.28
138,Nambucca Heads,AU,2022-10-24 17:24:00,-30.65,153.0,68.0,90,16,3.69
139,Whyalla,AU,2022-10-24 17:24:01,-33.0333,137.5833,57.74,84,21,10.56
140,Arraial Do Cabo,BR,2022-10-24 17:24:02,-22.9661,-42.0278,72.88,78,20,13.31
141,Hamilton,US,2022-10-24 17:24:03,39.1834,-84.5333,77.43,39,0,12.66
142,Eyl,SO,2022-10-24 17:24:03,7.9803,49.8164,80.22,75,56,7.81
143,Hilo,US,2022-10-24 17:24:03,19.7297,-155.09,77.61,81,40,6.91
144,Namatanai,PG,2022-10-24 17:24:04,-3.6667,152.4333,79.63,78,71,3.0
145,Seoul,KR,2022-10-24 17:24:04,37.5683,126.9778,47.64,61,5,4.16
146,Irbeyskoye,RU,2022-10-24 17:24:05,55.6428,95.4522,33.03,55,21,13.18
147,Tual,ID,2022-10-24 17:24:05,-5.6667,132.75,83.14,74,100,5.82
148,Lompoc,US,2022-10-24 17:24:05,34.6391,-120.4579,71.85,47,0,4.61
149,Richards Bay,ZA,2022-10-24 17:24:06,-28.783,32.0377,72.09,90,68,1.72
150,Oktyabrskiy,RU,2022-10-24 17:24:06,54.4815,53.471,38.25,96,100,16.67
151,Palmer,US,2022-10-24 17:23:13,42.1584,-72.3287,56.77,85,100,3.44
152,Havelock,US,2022-10-24 17:24:07,34.8791,-76.9013,64.98,84,100,9.22
153,Hervey Bay,AU,2022-10-24 17:24:07,-25.2986,152.8535,71.02,83,92,11.99
154,Brae,GB,2022-10-24 17:24:07,60.3964,-1.353,51.62,90,100,20.62
155,Saint Anthony,US,2022-10-24 17:24:08,45.0205,-93.218,58.14,63,0,14.97
156,Kahului,US,2022-10-24 17:24:09,20.8947,-156.47,80.83,68,20,6.91
157,Carnarvon,AU,2022-10-24 17:24:10,-24.8667,113.6333,65.64,63,0,23.94
158,Siderno,IT,2022-10-24 17:24:10,38.2779,16.302,69.33,65,3,11.65
159,Weligama,LK,2022-10-24 17:24:11,5.9667,80.4167,77.04,89,100,6.73
160,Galesong,ID,2022-10-24 17:24:11,-5.3166,119.3661,77.02,80,77,3.42
161,Tuktoyaktuk,CA,2022-10-24 17:24:11,69.4541,-133.0374,10.87,93,18,2.06
162,Bethel,US,2022-10-24 17:24:12,41.3712,-73.414,59.09,88,100,8.05
163,Xai-Xai,MZ,2022-10-24 17:24:12,-25.0519,33.6442,76.78,79,97,15.35
164,Quatre Cocos,MU,2022-10-24 17:24:12,-20.2078,57.7625,73.09,72,9,8.75
165,Ahipara,NZ,2022-10-24 17:24:13,-35.1667,173.1667,52.88,85,96,6.31
166,The Valley,AI,2022-10-24 17:24:13,18.217,-63.0578,87.82,76,49,10.71
167,Husavik,IS,2022-10-24 17:24:14,66.0449,-17.3389,30.04,76,66,9.91
168,Neiafu,TO,2022-10-24 17:24:15,-18.65,-173.9833,72.28,78,40,8.05
169,Cherskiy,RU,2022-10-24 17:24:16,68.75,161.3,-3.78,97,90,8.72
170,Horasan,TR,2022-10-24 17:24:17,40.0458,42.1728,47.62,55,29,3.49
171,Bubaque,GW,2022-10-24 17:24:17,11.2833,-15.8333,81.5,72,100,7.78
172,Lorengau,PG,2022-10-24 17:24:18,-2.0226,147.2712,80.65,72,82,2.86
173,Lata,PT,2022-10-24 17:24:19,40.1629,-8.3327,65.91,79,100,4.12
174,Kieta,PG,2022-10-24 17:24:19,-6.2167,155.6333,78.76,85,74,1.16
175,Sistranda,NO,2022-10-24 17:24:19,63.7256,8.834,44.56,72,2,11.27
176,Koungou,YT,2022-10-24 17:24:20,-12.7336,45.2042,78.51,78,20,4.61
