City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Hilo,US,71.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
219,Sur,OM,78.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
220,Saint George,US,52.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
221,Nanyamba,TZ,74.48,scattered clouds,-10.6833,39.8333,Busati Lodge Nanyamba
222,Manokwari,ID,79.39,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
223,Tecoanapa,MX,83.61,few clouds,16.5167,-98.75,Hotel Manglares
224,Termoli,IT,68.77,clear sky,41.9888,14.9895,Hotel Mistral
225,San Borja,BO,92.3,broken clouds,-14.8167,-66.85,
227,Issoire,FR,78.06,overcast clouds,45.55,3.25,ACE Hôtel Issoire
228,Vallenar,CL,81.16,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
229,Taoudenni,ML,93.96,clear sky,22.6783,-3.9836,
231,Puerto Lopez,CO,82.15,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
232,Gigmoto,PH,80.62,light rain,13.7796,124.39,Cj's Travellers Inn
233,Charters Towers,AU,74.79,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
234,Ponta Do Sol,PT,75.7,overcast clouds,32.6667,-17.1,Hotel do Campo
236,Ambovombe,MG,69.87,overcast clouds,-25.1667,46.0833,RELAHARA
237,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
238,Aubenas,FR,66.16,overcast clouds,44.6201,4.3899,ibis Aubenas
239,Jimma,ET,61.09,broken clouds,7.6667,36.8333,Jimma Central Hotel - ጂማ ሴንትራል ሆቴል
240,Marawi,PH,70.25,overcast clouds,7.9986,124.2928,Derogongan Residence
242,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
243,Itarema,BR,90.32,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
244,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
246,Oussouye,SN,93.38,few clouds,12.485,-16.5469,Auberge du Routard
247,Ban Nahin,LA,69.93,overcast clouds,18.2418,104.2122,
248,Bonthe,SL,83.88,light rain,7.5264,-12.505,Bonthe Holiday Village
250,Stornoway,GB,53.92,broken clouds,58.2093,-6.3865,Caladh Inn
251,Grand-Santi,GF,80.67,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
255,Lagoa,PT,62.42,overcast clouds,39.05,-27.9833,Casa Das Faias
256,Le Port,RE,75.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
258,Hamilton,US,62.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
259,Anamur,TR,70.84,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
260,Canon City,US,56.62,clear sky,38.441,-105.2424,Travel Inn Motel
261,Namatanai,PG,80.92,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
262,Champerico,GT,86.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
265,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
268,Tateyama,JP,58.93,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
269,Carutapera,BR,90.54,overcast clouds,-1.195,-46.02,Lidera
270,Victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Central
271,Pangai,TO,76.8,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
272,Miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
274,Dingli,MT,70.81,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
275,Port Blair,IN,77.04,thunderstorm with rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
276,Marienburg,PL,58.87,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
277,Kapit,MY,74.21,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
280,Ochamchira,GE,54.79,overcast clouds,42.7121,41.4721,Resort on Papaskiri 76
281,Sibolga,ID,76.6,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
282,Charleston,US,62.02,overcast clouds,32.7766,-79.9309,"Mills House Charleston, Curio Collection by Hilton"
283,Grasse,FR,70.56,clear sky,43.6667,6.9167,LA BASTIDE SAINT-ANTOINE - Jacques Chibois
286,Wanning,CN,73.02,broken clouds,18.8003,110.3967,Paradise Hotel
288,Portland,US,54.01,light intensity drizzle,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
289,Moron,AR,85.01,scattered clouds,-34.6534,-58.6198,Hotel Morón
290,Minab,IR,81.86,clear sky,27.1467,57.0801,Bam campground
291,Russkaya Polyana,UA,58.6,overcast clouds,49.417,31.9201,
296,Kieta,PG,80.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
297,Osmena,PH,81.68,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
298,Kasempa,ZM,83.59,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
300,Roald,NO,52.75,broken clouds,62.5833,6.1333,Flem Cabins
301,Dutse,NG,89.29,overcast clouds,11.7594,9.3392,Kaci
302,Saldanha,ZA,69.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
303,Uthal,PK,79.57,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
304,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
305,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
306,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
307,Bilma,NE,83.5,clear sky,18.6853,12.9164,Expeditions Ténére voyages
308,Vanimo,PG,77.58,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
310,Chake Chake,TZ,76.62,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
314,Peniche,PT,66.29,light rain,39.3558,-9.3811,Hotel Star inn Peniche
315,Tenenkou,ML,95.0,clear sky,14.4572,-4.9169,
316,Lukovo,MK,60.39,clear sky,41.3494,20.6047,Kukja za Vodici
317,Meulaboh,ID,77.43,heavy intensity rain,4.1363,96.1285,Kost Pria
318,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
319,Daru,PG,79.43,few clouds,-9.0763,143.2092,Daru Lodge
320,Snyder,US,53.31,broken clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
323,Dhidhdhoo,MV,82.02,broken clouds,6.8833,73.1,Dhidhoo beach
325,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
326,Kondopoga,RU,51.48,overcast clouds,62.2057,34.2614,Karelia Hotel
327,Aitape,PG,78.12,overcast clouds,-3.1374,142.3475,
328,Mekhe,SN,96.26,clear sky,15.1097,-16.6218,Ma maison
330,San Jose,US,62.49,haze,37.3394,-121.895,The Westin San Jose
331,Jadu,LY,70.18,clear sky,31.953,12.0261,امياس للصرافة
332,Mmathubudukwane,BW,81.03,few clouds,-24.6,26.4333,Gill Sleepover Guesthouse
333,Rio Gallegos,AR,50.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
334,Nabire,ID,75.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
335,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
337,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
338,Bonavista,CA,50.22,clear sky,48.6499,-53.1147,Sweet Sharons bnb
339,Lata,PT,64.08,overcast clouds,40.1629,-8.3327,Casa Maquia
342,Joshimath,IN,52.41,clear sky,30.5667,79.5667,Shivalik Camps & Resort
343,Muncar,ID,74.12,broken clouds,-8.4333,114.3333,Zaky Homestay
345,Murray Bridge,AU,52.12,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
346,San Quintin,MX,65.73,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
347,Paita,PE,70.38,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
348,Kismayo,SO,79.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
349,Sogne,NO,54.16,overcast clouds,58.0833,7.8167,Åros Feriesenter
352,Anloga,GH,83.35,scattered clouds,5.7947,0.8973,Pin Drop Hotel
353,Cockburn Town,TC,82.44,clear sky,21.4612,-71.1419,Osprey Beach Hotel
354,Canakkale,TR,52.66,clear sky,40.0833,26.8333,
355,Muros,ES,65.14,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
356,Birjand,IR,70.27,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
357,Lima,PE,65.89,mist,-12.0432,-77.0282,Hotel Kamana
358,La Palma,US,72.9,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
